,s,t,method,hash,k,cost,factor,portfolio,infos
3232,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.491163238,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;62.101;;66.069]
3233,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;62.101;;66.069]
3234,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.491163238,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142],[56.456;;65.840;;73.248]
3235,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142],[56.456;;65.840;;73.248]
3236,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.491163238,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142],[56.456;;68.132;;82.331]
3237,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142],[56.456;;68.132;;82.331]
3238,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.477323869942126,,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142],[56.456;;70.424;;84.173]
3239,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,55.477323869942126,1.0077920561125149,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142],[56.456;;70.424;;84.173]
3240,18,38,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,2,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151],[+2.56%;;+0.80%]
3241,18,38,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,2,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151],[+2.56% | f=0.675;;+0.80% | f=0.171]
3242,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,56.45560114585185,,[a18-61-124-63-142;a18-61-124-63-142],[56.456;;59.278]
3243,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,56.45560114585185,1.0255632822381389,[a18-61-124-63-142;a18-61-124-63-142],[56.456;;59.278]
3244,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,56.45560114585185,,[a18-61-124-63-142;a18-61-124-63-142],[56.456;;62.101]
3245,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,56.45560114585185,1.0255632822381389,[a18-61-124-63-142;a18-61-124-63-142],[56.456;;62.101]
3246,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,55.491163238,,[a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;65.840]
3247,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;65.840]
3248,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,55.491163238,,[a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;68.132]
3249,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;68.132]
3250,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,55.491163238,,[a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;70.424]
3251,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,2,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;70.424]
3252,18,38,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[+2.56%]
3253,18,38,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[+2.56% | f=0.675]
3254,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,,[a18-61-124-63-142],[56.456]
3255,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[56.456]
3256,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,,[a18-61-124-63-142],[56.456]
3257,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[56.456]
3258,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,,[a18-61-124-63-142],[56.456]
3259,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[56.456]
3260,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,,[a18-61-124-63-142],[56.456]
3261,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[56.456]
3262,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,,[a18-61-124-63-142],[56.456]
3263,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,1,56.45560114585185,1.0255632822381389,[a18-61-124-63-142],[56.456]
